experiment_number,orx_id,parent_id,hypothesis,code_changes,optuna_study,trials,seeds,metrics,verdict,next_action
18,8d6e2d4d-719a-4ddb-87fb-9f27f2d36316,b405429f-01aa-4f18-9492-005bb3ab17b4,"Fair hysteresis Ridge signals","dcd263f; exit-band search validation-only",hysteresis_ridge_validation,8,"11|22|33|44|55","Run f14e7395-4126-4a0f-9ecb-35f87ff101a4: validation 0.0617274; frozen test -0.3176550; turnover 2.1506; alpha 0.8263; exit band 0.00988","answered and frozen; best sibling but reject; no promotion","Retain balanced control"
19,d2669976-1668-429c-acf4-a6b16f6d188a,b405429f-01aa-4f18-9492-005bb3ab17b4,"Fair volatility-gated Ridge","8e93d14; volatility threshold search validation-only",volatility_gated_ridge_validation,8,"11|22|33|44|55","Run 140323a1-1d02-4081-9bf9-00a3537fb07b: validation -0.6569587; frozen test -0.7909709; turnover 4.7239; alpha 80.6384; threshold 0.7222","answered and frozen; reject; no promotion","Stop fair bush; no stacked child"
20,local-ba9dab5,b405429f-01aa-4f18-9492-005bb3ab17b4,"Cost-aware forecast-magnitude threshold for Ridge; arXiv:2606.00060 supports trade filtering above transaction-cost noise","dc031c4; promoted merge ba9dab5; alpha plus threshold Optuna; fixed costs and splits unchanged",ridge_threshold_validation,8,"11|22|33|44|55","LOCAL ANSWER: validation 0.1135487; frozen test 0.2132863; mean test rolling return 0.0375513; maximum drawdown -0.0364; Sharpe 0.7491; turnover 1.4794; threshold 0.02682; alpha 0.1527; 4 test windows; deterministic seed spread 0","promoted research parent; not deployment; sparse 1/4 positive test windows and multiple-testing evidence pending","Run independent stochastic seeds, regime slices, threshold sensitivity, and formal multiple-testing adjustment before deployment; no paper trading"
21,local-84484e5,local-ba9dab5,"TimesFM 2.5 zero-shot log-close forecast; literature supports forecast-to-trade testing but not unconditional alpha","84484e5; local TimesFM 2.5 weights; causal 256-context forecast; threshold Optuna",timesfm_threshold_validation,8,"11|22|33|44|55","LOCAL ANSWER: validation 0.1488174; frozen test -0.4697066; mean test rolling return -0.0628; maximum drawdown -0.4907; Sharpe -0.5150; turnover 3.3396; threshold 0.01438; 4 test windows; deterministic seed spread 0","rejected; validation gain failed frozen test; no promotion","Reject foundation sibling; retain promoted threshold Ridge"
22,local-84484e5,local-ba9dab5,"Kronos base zero-shot OHLCV forecast; local checkpoint and tokenizer isolated under models/","84484e5; local Kronos source and weights; causal 256-context OHLCV forecast; threshold Optuna",kronos_threshold_validation,8,"11|22|33|44|55","LOCAL ANSWER: validation -0.7314223; frozen test -0.8563088; mean test rolling return -0.1397; maximum drawdown -0.6436; Sharpe -0.7259; turnover 5.1900; threshold 0.02735; 4 test windows; deterministic seed spread 0","rejected; clear inferiority after costs; no promotion","Stop Stage 3 foundation bush; deeper architectures unstarted"
23,local-stage4-hybrid,local-ba9dab5,"TimesFM zero-shot forecast as causal feature in Ridge meta-layer; post-training composition remains one-variable append","Stage 4 hybrid adapter; TimesFM forecast cached per date; Ridge meta-layer; fixed score/cost/splits",hybrid_timesfm_ridge_validation,8,"11|22|33|44|55","LOCAL ANSWER: validation 0.0335998; frozen test -0.0728067; mean test rolling return 0.0201; maximum drawdown -0.0756; Sharpe 0.4444; turnover 2.1762; alpha 0.1527; threshold 0.02682; 4 test windows; deterministic seed spread 0","rejected; below promoted threshold Ridge; no promotion","Close Stage 4 hybrid bush; deeper architectures unstarted"
24,local-stage4-confidence,local-ba9dab5,"TimesFM uncertainty-based abstention gate; output uncertainty control from TSFM post-training literature","Stage 4 uncertainty gate; fixed causal TimesFM quantile spread; threshold and gate Optuna",timesfm_confidence_validation,8,"11|22|33|44|55","LOCAL ANSWER: validation 0.2775677; frozen test -0.5483675; mean test rolling return -0.1129; maximum drawdown -0.4704; Sharpe -0.8996; turnover 2.5748; max uncertainty 0.4808; threshold 0.01675; 4 test windows; deterministic seed spread 0","rejected; negative test return, drawdown, Sharpe, and below promoted threshold Ridge","Close Stage 4 hybrid bush; no promotion"
25,local-xgboost,local-ba9dab5,"XGBoost with cost-aware threshold; arXiv:2606.00060 reports XGBoost strongest on crypto walk-forward; model-family ablation","Causal walk-forward XGBoost with same features and splits as Ridge; 8 Optuna trials on threshold + hyperparams; fixed score/cost",xgboost_validation,8,"11|22|33|44|55","LOCAL ANSWER: validation -0.3681458; frozen test -0.4176403; mean test rolling return -0.0353; maximum drawdown -0.3101; Sharpe -0.3669; turnover 3.0949; n=435 max_depth=3 lr=0.0166 threshold=0.0196; 4 test windows; deterministic seed spread 0","rejected; clearly below promoted threshold Ridge on all metrics","Close XGBoost bush; tree models inferior to linear Ridge"
26,local-lightgbm,local-ba9dab5,"LightGBM with cost-aware threshold; gradient-boosting alternative to XGBoost and Ridge","Causal walk-forward LightGBM with same features/splits as Ridge; 8 Optuna trials; fixed score/cost",lightgbm_validation,8,"11|22|33|44|55","LOCAL ANSWER: validation -0.4197973; frozen test -0.4602400; mean test rolling return -0.0655; maximum drawdown -0.3556; Sharpe -0.5272; turnover 2.8373; n=473 max_depth=5 lr=0.0107 threshold=0.0223; 4 test windows; deterministic seed spread 0","rejected; worse than XGBoost and far below promoted Ridge","Close tree-model bush; linear Ridge remains dominant"
27,local-ridge-covariance,local-ba9dab5,"Covariance-aware Ridge allocation using trailing BTC/ETH moments and turnover penalty; motivated by arXiv:2501.12841","Causal Ridge forecasts plus 60-session covariance allocator; 8 Optuna trials over alpha, risk aversion, and turnover penalty; fixed score/cost/splits",ridge_covariance_validation,8,"11|22|33|44|55","LOCAL ANSWER: validation 0.0745508; frozen test -0.2496991; mean test rolling return -0.0123; maximum drawdown -0.1009; Sharpe -0.7875; turnover 0.3199; alpha 0.1527 risk aversion 44.7044 turnover penalty 0.00482; 4 test windows; deterministic seed spread 0","rejected; covariance allocator lost to promoted Ridge and fair control","Close covariance allocation bush; retain equal-positive threshold mapping"
28,local-ridge-ar-blend,local-ba9dab5,"Blend causal Ridge and autoregressive forecasts to reduce model-specific error","Causal Ridge plus AR forecast blend; 8 Optuna trials over alpha, blend weight, horizon, and threshold; fixed score/cost/splits",ridge_ar_blend_validation,8,"11|22|33|44|55","LOCAL ANSWER: validation 0.1135487; frozen test 0.1946880; mean test rolling return 0.0366; maximum drawdown -0.0364; Sharpe 0.7656; turnover 1.6287; Ridge weight 0.9876 horizon 5 threshold 0.02735; 4 test windows; deterministic seed spread 0","rejected; below promoted Ridge score with higher turnover despite similar risk","Close forecast-blend bush; no promotion"
29,local-ridge-label-clip,local-ba9dab5,"Clip training labels before Ridge fit to reduce outlier influence; distinct from prior prediction clipping","Causal expanding Ridge with validation-selected label clip; 8 Optuna trials over alpha, label clip, and threshold; fixed score/cost/splits",ridge_label_clip_validation,8,"11|22|33|44|55","LOCAL ANSWER: validation -0.0938810; frozen test -0.2307729; mean test rolling return -0.0181; maximum drawdown -0.1080; Sharpe -0.3091; turnover 1.3770; alpha 0.0620 label clip 0.1444 threshold 0.01675; 4 test windows; deterministic seed spread 0","rejected; failed frozen test and risk-adjusted comparison","Close target-robustness bush; no promotion"
30,local-ridge-adaptive-refit,local-ba9dab5,"Tune causal Ridge refit cadence to adapt model persistence to changing crypto regimes","Causal expanding Ridge with validation-selected refit cadence; 8 Optuna trials over alpha, refit sessions, and threshold; fixed score/cost/splits; tied validation sensitivity rerun at refit 40","ridge_adaptive_refit_validation",8,"11|22|33|44|55","LOCAL ANSWER: validation 0.0761147; frozen test 0.2751355; mean test rolling return 0.0336; maximum drawdown -0.0294; Sharpe 0.7184; turnover 0.9990; alpha 0.02268 refit 46 threshold 0.02963; tied validation refit 40 reproduced same frozen score; 4 test windows; deterministic seed spread 0","promoted research parent; beats prior parent score with lower drawdown and baseline turnover, but validation loss and sparse one-positive-window evidence block deployment","Run children only under adaptive-refit parent; no paper trading"
31,local-ridge-adaptive-covariance,local-ridge-adaptive-refit,"Append covariance allocator to promoted adaptive-refit Ridge","Adaptive-refit Ridge forecasts plus 60-session covariance allocator; 8 Optuna trials over alpha, refit cadence, risk aversion, and turnover penalty; fixed score/cost/splits",ridge_adaptive_covariance_validation,8,"11|22|33|44|55","LOCAL ANSWER: validation 0.1313989; frozen test -0.0569918; mean test rolling return 0.0027; maximum drawdown -0.0368; Sharpe -0.0281; turnover 0.2622; refit 40 risk aversion 48.8318 turnover penalty 0.00889; 4 test windows; deterministic seed spread 0","rejected; covariance append destroyed return and Sharpe despite lower turnover","Close adaptive covariance child; adaptive-refit Ridge remains parent"
